Frame,Motion_Count
1,0
2,4
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,3
11,3
12,1
13,2
14,13
15,13
16,2
17,6
18,5
19,6
20,4
21,8
22,8
23,8
24,4
25,6
26,3
27,1
28,1
29,1
30,1
31,2
32,3
33,1
34,4
35,3
36,6
37,7
38,6
39,7
40,5
41,5
42,7
43,4
44,6
45,5
46,4
47,4
48,4
49,5
50,4
51,3
52,0
53,3
54,3
55,6
56,3
57,7
58,6
59,8
60,6
61,3
62,3
63,10
64,4
65,4
66,1
67,2
68,9
69,8
70,3
71,2
72,4
73,2
74,6
75,10
76,5
77,11
78,7
79,4
80,7
81,7
82,6
83,5
84,7
85,6
86,5
87,10
88,4
89,5
90,4
91,5
92,6
93,9
94,6
95,8
96,6
97,4
98,5
99,9
100,9
101,9
102,9
103,8
104,9
105,10
106,9
107,3
108,11
109,10
110,11
111,11
112,11
113,8
114,8
115,8
116,9
117,9
118,11
119,3
120,10
121,9
122,7
123,6
124,7
125,10
126,9
127,8
128,9
129,8
130,11
131,5
132,10
133,13
134,8
135,6
136,7
137,7
138,7
139,7
140,7
141,6
142,7
143,7
144,7
145,9
146,9
147,7
148,8
149,8
150,7
151,7
152,6
153,8
154,2
155,11
156,11
157,10
158,14
159,9
160,12
161,9
162,17
163,16
164,16
165,12
166,11
167,14
168,14
169,9
170,14
171,15
172,14
173,14
174,10
175,19
176,12
177,15
178,13
179,10
180,10
181,9
182,11
183,15
184,11
185,13
186,13
187,9
188,0
189,9
190,16
191,11
192,15
193,15
194,5
195,0
196,7
197,16
198,11
199,16
200,14
201,4
202,0
203,9
204,12
205,13
206,11
207,12
208,15
209,11
210,16
211,14
212,8
213,0
214,7
215,9
216,2
217,0
218,13
219,13
220,10
221,12
222,16
223,13
224,9
225,12
226,10
227,11
228,10
229,0
230,10
231,14
232,11
233,13
234,25
235,28
236,23
237,12
238,7
239,6
240,0
241,7
242,18
243,17
244,20
245,23
246,19
247,21
248,29
249,17
250,7
251,0
252,5
253,15
254,21
255,18
256,19
257,13
258,16
259,17
260,18
261,15
262,9
263,0
264,1
265,4
266,2
267,5
268,3
269,3
270,2
271,3
272,2
273,4
274,3
275,2
276,4
277,2
278,3
279,2
280,3
281,2
282,2
283,2
284,3
285,2
286,2
287,3
288,4
289,3
290,3
291,5
292,6
293,3
294,2
295,5
296,3
297,6
298,2
299,4
300,2
301,6
302,3
303,7
304,7
305,3
306,3
307,5
308,4
309,8
310,6
311,4
312,6
313,6
314,3
315,6
316,4
317,4
318,2
319,6
320,4
321,2
